id,set,year,short_name,title,purpose,status,notes
K01,calibration,2022,Bertrand,"How Cognitive Biases Affect XAI-assisted Decision-making: A Systematic Review",Q1,active,"Core cognitive-bias/XAI review"
K02,calibration,2024,Mehrotra,"A Systematic Review on Fostering Appropriate Trust in Human-AI Interaction: Trends, Opportunities and Challenges",Q2,active,"Trust calibration / appropriate trust"
K03,calibration,2024,Vaccaro,"When combinations of humans and AI are useful: A systematic review and meta-analysis",Q3,active,"Human-AI collaboration / decision performance"
K04,calibration,2025,Gomez,"Human-AI collaboration is not very collaborative yet: a taxonomy of interaction patterns in AI-assisted decision making from a systematic review",Q3,active,"Interaction patterns in AI-assisted decision making"
K05,calibration,2025,Romeo-Conti,"Exploring automation bias in human–AI collaboration: a review and implications for explainable AI",Q1-Q2-Q3,active,"Automation bias"
H01,holdout,2020,Jussupow,"Why Are We Averse Towards Algorithms? A Comprehensive Literature Review on Algorithm Aversion",Q2,active,"Algorithm aversion"
H02,holdout,2021,Lockey,"A Review of Trust in Artificial Intelligence: Challenges, Vulnerabilities and Future Directions",Q2,active,"Trust in AI"
H03,holdout,2026,Bougault,"Designing Human-LLM Systems: A Review of Current State, Limitations, and Guidelines to Better Interaction",Q4,active,"Human-LLM review"
K06,calibration,2024,Li,"A survey on LLM-based multi-agent systems: workflow, infrastructure, and challenges",Q5a,active,"Multi-agent LLM landscape"
K07,calibration,2026,Moralles,"A Systematic Literature Review of Agentic AI: Definitions, Architectures, and Challenges",Q5a,active,"Agentic AI review"
K08,calibration,2026,Bajoria,"From Language Models to Agentic AI: A Survey of Autonomous, Action-Enabled, and Collaborative LLM Agents",Q5a,active,"Single/multi agent collaborative LLM survey"
H04,holdout,2026,Motger,"Multi-Agent Debate Strategies: Survey, Taxonomy, and Challenges",Q5a,provisional,"Preprint; useful for recall but eligibility depends on peer-review criterion"
H05,holdout,2025,Wu,"Generative Multi-Agent Collaboration in Embodied AI: A Systematic Review",Q5a,active,"Multi-agent generative collaboration; likely low thematic adherence"
H06,holdout,,TBD,"To be defined before formal recall calculation",Q5a,pending,"Do not include in formal recall until frozen"
